Date,Points,Distance,AvgPoints,AvgDistance
2021-11-09,26,3.92,19.5,3.248
2021-11-12,17,2.87,19.5,3.248
2021-11-19,37,4.11,19.5,3.248
2021-11-26,26,0.229,19.5,3.248
2021-12-01,33,3.84,19.5,3.248
2021-12-05,15,3.43,19.5,3.248
2021-12-11,12,3.57,19.5,3.248
2021-12-18,25,3.25,19.5,3.248
2021-12-21,8,2.87,19.5,3.248
2022-01-02,23,3.30,19.5,3.248
2022-01-04,21,3.85,19.5,3.248
2022-01-08,20,3.89,19.5,3.248
2022-01-19,22,3.19,19.5,3.248
2022-01-26,15,3.476,19.5,3.248
2022-01-29,12,2.97,19.5,3.248
2022-02-05,3,2.96,19.5,3.248
2022-02-15,18,2.52,19.5,3.248
2022-03-05,18,4.215,19.5,3.248